;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L7_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-64
0.000052	-36
0.000104	33
0.000156	9
0.000208	3
0.000260	-16
0.000313	-89
0.000365	-74
0.000417	28
0.000469	-3
0.000521	-79
0.000573	-61
0.000625	3
0.000677	-8
0.000729	32
0.000781	-14
0.000833	-66
0.000885	-52
0.000938	-61
0.000990	-39
0.001042	-52
0.001094	-40
0.001146	-16
0.001198	-44
0.001250	-13
0.001302	-29
0.001354	-8
0.001406	-53
0.001458	-59
0.001510	-43
0.001562	-70
0.001615	-76
0.001667	43
0.001719	27
0.001771	-55
0.001823	-60
0.001875	-54
0.001927	-61
0.001979	-71
0.002031	23
0.002083	-4
0.002135	-16
0.002187	-25
0.002240	7
0.002292	-57
0.002344	-72
0.002396	-1
0.002448	-117
0.002500	-71
0.002552	4
0.002604	43
0.002656	-50
0.002708	-78
0.002760	1
0.002812	-16
0.002865	-41
0.002917	-35
0.002969	45
0.003021	-13
0.003073	-20
0.003125	31
0.003177	-37
0.003229	-41
0.003281	33
0.003333	8
0.003385	-46
0.003437	-57
0.003490	-17
0.003542	-35
0.003594	-78
0.003646	-52
0.003698	22
0.003750	-97
0.003802	-23
0.003854	-10
0.003906	-51
0.003958	-95
0.004010	-13
0.004062	-67
0.004115	-49
0.004167	-27
0.004219	-14
0.004271	-24
0.004323	-62
0.004375	-8
0.004427	-58
0.004479	-93
0.004531	-29
0.004583	-22
0.004635	-45
0.004687	-18
0.004740	12
0.004792	-22
0.004844	-47
0.004896	-38
0.004948	47
0.005000	-53
0.005052	-51
0.005104	14
0.005156	-61
0.005208	-100
0.005260	-56
0.005313	-36
0.005365	-17
0.005417	-45
0.005469	11
0.005521	-34
0.005573	-63
0.005625	-9
0.005677	-17
0.005729	0
0.005781	15
0.005833	-5
0.005885	-27
0.005938	-69
0.005990	-57
0.006042	-30
0.006094	-57
0.006146	-10
0.006198	39
0.006250	-53
0.006302	-62
0.006354	3
0.006406	-39
0.006458	-100
0.006510	-10
0.006563	30
0.006615	-36
0.006667	-59
0.006719	13
0.006771	-58
0.006823	-66
0.006875	-26
0.006927	6
0.006979	-10
0.007031	-15
0.007083	10
0.007135	-43
0.007188	-73
0.007240	-64
0.007292	-40
0.007344	-20
0.007396	-140
0.007448	-4
0.007500	-51
0.007552	-61
0.007604	-6
0.007656	20
0.007708	-65
0.007760	-74
0.007813	11
0.007865	-27
0.007917	-8
0.007969	12
0.008021	44
0.008073	-15
0.008125	-42
0.008177	-4
0.008229	-100
0.008281	-45
0.008333	-8
0.008385	-32
0.008438	-78
0.008490	-42
0.008542	35
0.008594	-26
0.008646	-88
0.008698	-26
0.008750	-28
0.008802	-54
0.008854	-49
0.008906	7
0.008958	-37
0.009010	-119
0.009063	6
0.009115	-43
0.009167	-37
0.009219	-64
0.009271	17
0.009323	-20
0.009375	-47
0.009427	-42
0.009479	-38
0.009531	-61
0.009583	-42
0.009635	45
0.009687	-16
0.009740	-44
0.009792	-39
0.009844	-26
0.009896	-31
0.009948	-30
0.010000	37
0.010052	-71
0.010104	-71
0.010156	-11
0.010208	-54
0.010260	-85
0.010312	25
0.010365	1
0.010417	-43
0.010469	-85
0.010521	-44
0.010573	-79
0.010625	-72
0.010677	-29
0.010729	-58
0.010781	-30
0.010833	10
0.010885	37
0.010937	-65
0.010990	-117
0.011042	-30
0.011094	-22
0.011146	30
0.011198	-33
0.011250	49
0.011302	-83
0.011354	-110
0.011406	43
0.011458	-8
0.011510	10
0.011562	-100
0.011615	13
0.011667	1
0.011719	-85
0.011771	3
0.011823	-13
0.011875	-56
0.011927	-84
0.011979	-43
0.012031	-40
0.012083	-75
0.012135	-18
0.012187	-56
0.012240	-59
0.012292	15
0.012344	45
0.012396	-62
0.012448	-44
0.012500	-34
0.012552	-40
0.012604	-102
0.012656	-28
0.012708	5
0.012760	-26
0.012812	-24
0.012865	37
0.012917	8
0.012969	-22
0.013021	-46
0.013073	14
0.013125	-62
0.013177	-48
0.013229	20
0.013281	-49
0.013333	-41
0.013385	23
0.013437	-31
0.013490	-82
0.013542	-41
0.013594	49
0.013646	-10
0.013698	-5
0.013750	11
0.013802	-7
0.013854	-28
0.013906	-44
0.013958	-17
0.014010	-36
0.014062	-67
0.014115	29
0.014167	-7
0.014219	-85
0.014271	-24
