;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L3_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.027865	-17
0.027917	-67
0.027969	-50
0.028021	-31
0.028073	11
0.028125	70
0.028177	-82
0.028229	-106
0.028281	0
0.028333	-15
0.028385	-73
0.028438	0
0.028490	-21
0.028542	-72
0.028594	1
0.028646	43
0.028698	-57
0.028750	-101
0.028802	-8
0.028854	-60
0.028906	-85
0.028958	16
0.029010	-2
0.029063	-58
0.029115	-27
0.029167	2
0.029219	-68
0.029271	-108
0.029323	7
0.029375	-37
0.029427	-73
0.029479	-65
0.029531	-2
0.029583	-95
0.029635	-94
0.029688	-5
0.029740	-57
0.029792	-121
0.029844	-47
0.029896	-64
0.029948	-86
0.030000	-51
0.030052	-29
0.030104	-10
0.030156	-31
0.030208	10
0.030260	-41
0.030313	-84
0.030365	-54
0.030417	7
0.030469	-65
0.030521	-25
0.030573	3
0.030625	-52
0.030677	-73
0.030729	31
0.030781	1
0.030833	-55
0.030885	-15
0.030938	34
0.030990	13
0.031042	-10
0.031094	11
0.031146	-60
0.031198	-80
0.031250	-12
0.031302	8
0.031354	-114
0.031406	-26
0.031458	-17
0.031510	-39
0.031563	-101
0.031615	-52
0.031667	-65
0.031719	-89
0.031771	21
0.031823	33
0.031875	-81
0.031927	-69
0.031979	16
0.032031	-14
0.032083	-127
0.032135	-62
0.032188	-77
0.032240	-89
0.032292	-39
0.032344	34
0.032396	-50
0.032448	-63
0.032500	62
0.032552	-79
0.032604	-96
0.032656	-76
0.032708	-40
0.032760	-66
0.032813	-81
0.032865	-54
0.032917	-51
0.032969	-82
0.033021	-56
0.033073	-15
0.033125	-98
0.033177	-66
0.033229	-32
0.033281	-115
0.033333	-97
0.033385	-16
0.033438	-44
0.033490	-81
0.033542	-53
0.033594	-26
0.033646	-37
0.033698	28
0.033750	-2
0.033802	-20
0.033854	-55
0.033906	23
0.033958	-30
0.034010	-46
0.034063	-49
0.034115	-6
0.034167	-42
0.034219	-22
0.034271	-6
0.034323	-43
0.034375	-66
0.034427	-15
0.034479	16
0.034531	-111
0.034583	-70
0.034635	30
0.034688	-49
0.034740	-113
0.034792	-45
0.034844	-82
0.034896	-100
0.034948	5
0.035000	0
0.035052	-22
0.035104	-7
0.035156	-33
0.035208	-102
0.035260	-32
0.035313	13
0.035365	-59
0.035417	-73
0.035469	-53
0.035521	-36
0.035573	-24
0.035625	-95
0.035677	5
0.035729	-2
0.035781	-21
0.035833	-40
0.035885	28
0.035938	-36
0.035990	-81
0.036042	-14
0.036094	-65
0.036146	-20
0.036198	-7
0.036250	-109
0.036302	-126
0.036354	-14
0.036406	-5
0.036458	-66
0.036510	-16
0.036563	-59
0.036615	-41
0.036667	-120
0.036719	-63
0.036771	-37
0.036823	-62
0.036875	-14
0.036927	24
0.036979	-78
0.037031	-35
0.037083	2
0.037135	-60
0.037188	-70
0.037240	-39
0.037292	43
0.037344	-54
0.037396	-36
0.037448	28
0.037500	-75
0.037552	-87
0.037604	18
0.037656	-41
0.037708	-168
0.037760	-85
0.037813	24
0.037865	-73
0.037917	-126
0.037969	30
0.038021	-54
0.038073	-108
0.038125	-22
0.038177	-19
0.038229	-147
0.038281	-19
0.038333	6
0.038385	-28
0.038438	-84
0.038490	0
0.038542	-49
0.038594	-92
0.038646	-41
0.038698	24
0.038750	-80
0.038802	-89
0.038854	-23
0.038906	-117
0.038958	-169
0.039010	-25
0.039063	-5
0.039115	-104
0.039167	-61
0.039219	2
0.039271	1
0.039323	-90
0.039375	-48
0.039427	-26
0.039479	-84
0.039531	-32
0.039583	-39
0.039635	-105
0.039688	-108
0.039740	40
0.039792	-78
0.039844	-67
0.039896	-1
0.039948	-3
0.040000	-70
0.040052	-61
0.040104	-3
0.040156	-116
0.040208	-51
0.040260	-2
0.040313	-98
0.040365	-109
0.040417	-37
0.040469	-67
0.040521	-95
0.040573	-29
0.040625	-26
0.040677	1
0.040729	-90
0.040781	-20
0.040833	-66
0.040885	-108
0.040938	-3
0.040990	8
0.041042	-100
0.041094	-70
0.041146	28
0.041198	-66
0.041250	-76
0.041302	19
0.041354	-54
0.041406	-79
0.041458	-33
0.041510	-19
0.041563	-49
0.041615	-65
0.041667	-34
0.041719	-19
0.041771	-69
0.041823	18
0.041875	-3
0.041927	-54
0.041979	-52
0.042031	-2
0.042083	-58
0.042135	-53
0.042188	22
0.042240	-55
0.042292	-104
0.042344	-44
0.042396	-11
0.042448	-52
0.042500	27
0.042552	-19
0.042604	-70
0.042656	-51
0.042708	6
0.042760	-64
0.042813	-77
0.042865	-60
0.042917	-34
0.042969	-75
0.043021	-66
0.043073	11
0.043125	-14
0.043177	-52
0.043229	-9
0.043281	-40
0.043333	-78
0.043385	-65
0.043438	12
0.043490	-51
0.043542	-90
0.043594	-98
0.043646	-43
0.043698	-113
0.043750	-27
0.043802	48
0.043854	-58
0.043906	-106
0.043958	3
0.044010	-3
0.044063	-70
0.044115	-52
0.044167	-30
0.044219	-48
0.044271	-61
0.044323	4
0.044375	-17
0.044427	-47
0.044479	45
0.044531	1
0.044583	-94
0.044635	-60
0.044688	24
0.044740	-26
0.044792	-67
0.044844	-67
0.044896	-65
0.044948	-97
0.045000	-28
0.045052	-51
0.045104	-49
0.045156	27
0.045208	-2
0.045260	-107
0.045313	-35
0.045365	-38
0.045417	-57
0.045469	-120
0.045521	-43
0.045573	-3
0.045625	-43
0.045677	-87
0.045729	39
0.045781	-26
0.045833	-72
0.045885	-12
0.045938	-34
0.045990	-67
0.046042	16
0.046094	-34
0.046146	-64
0.046198	-46
0.046250	-46
0.046302	-59
0.046354	-92
0.046406	-49
0.046458	-72
0.046510	-107
0.046563	-36
0.046615	-30
0.046667	-97
0.046719	-90
0.046771	-43
0.046823	-33
0.046875	-66
0.046927	-48
0.046979	-43
0.047031	-52
0.047083	-34
0.047135	45
0.047188	-39
0.047240	-62
0.047292	-20
0.047344	-15
0.047396	-33
0.047448	-2
0.047500	-27
0.047552	-90
0.047604	-74
0.047656	34
0.047708	-13
0.047760	-39
0.047813	10
0.047865	13
0.047917	-51
0.047969	-30
0.048021	27
0.048073	-6
0.048125	-60
0.048177	9
0.048229	-52
0.048281	-105
0.048333	-46
0.048385	23
0.048438	-108
0.048490	-122
0.048542	-29
0.048594	-82
0.048646	-107
0.048698	-74
0.048750	-77
0.048802	-42
0.048854	27
0.048906	18
0.048958	-37
0.049010	-55
0.049063	50
0.049115	-23
0.049167	-88
0.049219	-2
0.049271	57
0.049323	-37
0.049375	-59
0.049427	27
0.049479	-87
0.049531	-54
0.049583	-24
0.049635	-33
0.049688	-41
0.049740	-13
0.049792	-40
0.049844	-44
0.049896	-73
0.049948	-31
0.050000	-122
0.050052	-94
0.050104	-22
0.050156	-52
0.050208	-85
0.050260	-35
0.050313	0
0.050365	-111
0.050417	-111
0.050469	-38
0.050521	-25
0.050573	-83
0.050625	16
0.050677	1
0.050729	14
0.050781	-40
0.050833	-11
0.050885	-80
0.050938	-53
0.050990	6
0.051042	-70
0.051094	-41
0.051146	-44
0.051198	-26
0.051250	-44
0.051302	-35
0.051354	7
0.051406	-6
0.051458	-116
0.051510	-42
0.051563	-26
0.051615	-75
0.051667	-79
0.051719	-23
0.051771	-109
0.051823	-78
0.051875	-2
0.051927	-9
0.051979	-66
0.052031	-44
0.052083	11
0.052135	-84
0.052188	-29
0.052240	-30
0.052292	1
0.052344	-99
0.052396	-1
0.052448	-65
0.052500	-50
0.052552	-52
0.052604	-68
0.052656	-84
0.052708	-29
0.052760	72
0.052813	-28
0.052865	-68
0.052917	-17
0.052969	-2
0.053021	-74
0.053073	-31
0.053125	29
0.053177	-30
0.053229	-61
0.053281	10
0.053333	-26
0.053385	-29
0.053438	3
0.053490	-13
0.053542	-66
0.053594	-77
0.053646	38
0.053698	-43
0.053750	-141
0.053802	-23
0.053854	-19
0.053906	-66
0.053958	-69
0.054010	-29
0.054063	-110
0.054115	-110
0.054167	-41
0.054219	-68
0.054271	-98
0.054323	-37
0.054375	-72
0.054427	-83
0.054479	-68
0.054531	-47
0.054583	-96
0.054635	-144
0.054688	-26
0.054740	-68
0.054792	-30
0.054844	-49
0.054896	-8
0.054948	-51
0.055000	-143
0.055052	-14
0.055104	-21
0.055156	-57
0.055208	-27
0.055260	8
0.055313	0
0.055365	-37
0.055417	-17
0.055469	-17
0.055521	-63
0.055573	-10
0.055625	-84
0.055677	-52
0.055729	-16
0.055781	25
0.055833	-82
0.055885	-53
0.055938	-39
0.055990	-50
0.056042	-80
0.056094	39
0.056146	15
0.056198	-46
0.056250	-83
0.056302	32
0.056354	-61
0.056406	-98
0.056458	-7
0.056510	-53
0.056563	-65
0.056615	-72
0.056667	-23
0.056719	-66
0.056771	-29
0.056823	-52
0.056875	-101
0.056927	-105
0.056979	3
0.057031	-10
0.057083	-70
0.057135	-19
0.057188	-52
0.057240	-117
0.057292	-69
0.057344	-34
0.057396	-71
0.057448	-94
0.057500	-33
0.057552	-51
0.057604	-18
0.057656	-43
0.057708	6
0.057760	-39
0.057813	-89
0.057865	34
0.057917	-62
0.057969	-95
0.058021	-57
0.058073	-22
0.058125	-51
0.058177	-90
0.058229	36
0.058281	-19
0.058333	-77
0.058385	-53
0.058438	-22
0.058490	-76
0.058542	-65
0.058594	-32
0.058646	-85
0.058698	-87
0.058750	41
0.058802	-73
0.058854	-112
0.058906	27
0.058958	-10
0.059010	-69
0.059063	-57
0.059115	22
0.059167	-51
0.059219	-76
0.059271	23
0.059323	-25
0.059375	-55
0.059427	-31
0.059479	-30
0.059531	-60
0.059583	-94
0.059635	-1
0.059688	-133
0.059740	-119
0.059792	-15
0.059844	-75
0.059896	-134
0.059948	-62
0.060000	8
0.060052	-20
0.060104	-116
0.060156	-12
0.060208	-51
0.060260	-51
0.060313	-22
0.060365	-62
0.060417	-79
0.060469	-26
0.060521	-40
0.060573	-40
0.060625	-94
0.060677	18
0.060729	-53
0.060781	-46
0.060833	-78
0.060885	-29
0.060938	-98
0.060990	-95
0.061042	-53
0.061094	-47
0.061146	-86
0.061198	-47
0.061250	21
0.061302	-27
0.061354	-43
0.061406	-17
0.061458	-29
0.061510	-93
0.061563	31
0.061615	10
0.061667	-15
0.061719	-42
0.061771	14
0.061823	-48
0.061875	-7
0.061927	1
0.061979	-15
0.062031	-63
0.062083	20
0.062135	-10
0.062188	-76
0.062240	-35
0.062292	24
0.062344	-67
0.062396	-77
0.062448	-42
0.062500	-120
0.062552	-152
0.062604	-18
0.062656	-29
0.062708	-49
0.062760	-79
0.062813	-41
0.062865	-70
0.062917	-90
0.062969	9
0.063021	4
0.063073	-45
0.063125	3
0.063177	-27
0.063229	-97
0.063281	-104
0.063333	-16
0.063385	-70
0.063438	-91
0.063490	0
0.063542	-6
0.063594	-49
0.063646	-22
0.063698	45
0.063750	-47
0.063802	-109
0.063854	-38
0.063906	-28
0.063958	-85
0.064010	-40
0.064063	32
0.064115	-67
0.064167	-70
0.064219	9
0.064271	-56
0.064323	-105
0.064375	-27
0.064427	-41
0.064479	-46
0.064531	-83
0.064583	-10
0.064635	-85
0.064688	-169
0.064740	-52
0.064792	0
0.064844	-86
0.064896	-21
0.064948	-30
0.065000	-12
0.065052	-67
0.065104	2
0.065156	-19
0.065208	-60
0.065260	38
0.065313	11
0.065365	-64
0.065417	-28
0.065469	-9
0.065521	-74
0.065573	-40
0.065625	3
0.065677	-47
0.065729	-82
0.065781	-72
0.065833	-15
0.065885	-122
0.065938	-134
0.065990	-1
0.066042	-45
0.066094	-85
0.066146	-4
0.066198	25
0.066250	-64
0.066302	7
0.066354	-17
0.066406	-57
0.066458	-67
0.066510	5
0.066563	-50
0.066615	-73
0.066667	24
0.066719	-11
0.066771	-89
0.066823	-53
0.066875	21
0.066927	-52
0.066979	-23
0.067031	-4
0.067083	-40
0.067135	-124
0.067188	-24
0.067240	-17
0.067292	-71
0.067344	-75
0.067396	19
0.067448	-52
0.067500	-74
0.067552	10
0.067604	-10
0.067656	-88
0.067708	-52
0.067760	-46
0.067813	-77
0.067865	-22
0.067917	-61
0.067969	-77
0.068021	-32
0.068073	-24
0.068125	-62
0.068177	-63
0.068229	-32
0.068281	6
0.068333	-81
0.068385	-65
0.068438	1
0.068490	-56
0.068542	-73
0.068594	-54
0.068646	-50
0.068698	-57
0.068750	-103
0.068802	34
0.068854	-55
0.068906	-177
0.068958	-1
0.069010	-14
0.069063	-34
0.069115	30
0.069167	27
0.069219	-46
0.069271	-75
0.069323	-26
0.069375	-42
0.069427	-105
0.069479	-48
0.069531	-31
0.069583	-73
0.069635	-26
0.069688	19
0.069740	-56
0.069792	-82
0.069844	-17
0.069896	-73
0.069948	-113
0.070000	-36
0.070052	-12
0.070104	-51
0.070156	-97
0.070208	-28
0.070260	30
0.070313	-71
0.070365	-26
0.070417	6
0.070469	-82
0.070521	-51
0.070573	-10
0.070625	-86
0.070677	-108
0.070729	1
0.070781	31
0.070833	-37
0.070885	-42
0.070938	-11
0.070990	-82
0.071042	-116
0.071094	1
0.071146	-80
0.071198	-112
0.071250	-26
0.071302	-8
0.071354	-120
0.071406	-66
0.071458	-16
0.071510	-68
0.071563	-131
0.071615	-16
0.071667	-84
0.071719	-88
0.071771	6
0.071823	52
0.071875	-21
0.071927	-12
0.071979	6
0.072031	-17
0.072083	-53
0.072135	21
0.072187	-13
0.072240	-61
0.072292	-77
0.072344	-36
0.072396	-63
0.072448	-100
0.072500	-12
0.072552	-71
0.072604	-82
0.072656	21
0.072708	24
0.072760	-89
0.072812	-100
0.072865	3
0.072917	-17
0.072969	-86
0.073021	-63
0.073073	-64
0.073125	-18
0.073177	-3
0.073229	-53
0.073281	-90
0.073333	-63
0.073385	-19
0.073437	-104
0.073490	-131
0.073542	-63
0.073594	-64
0.073646	-104
0.073698	-57
0.073750	-2
0.073802	-45
0.073854	-98
0.073906	18
0.073958	-48
0.074010	-80
0.074062	-33
0.074115	17
0.074167	1
0.074219	21
0.074271	19
0.074323	-57
0.074375	-21
0.074427	22
0.074479	-22
0.074531	-33
0.074583	2
0.074635	20
0.074687	-16
0.074740	-1
0.074792	50
0.074844	-59
0.074896	-37
0.074948	-22
0.075000	-29
0.075052	-59
0.075104	-48
0.075156	11
0.075208	-40
0.075260	-105
0.075312	-29
0.075365	-77
0.075417	-45
0.075469	-75
0.075521	25
0.075573	-50
0.075625	-72
0.075677	1
0.075729	-63
0.075781	-68
0.075833	-10
0.075885	-43
0.075937	-78
0.075990	-23
0.076042	-6
0.076094	-49
0.076146	-113
0.076198	-82
0.076250	-43
0.076302	-47
0.076354	-14
0.076406	-71
0.076458	-107
0.076510	-84
0.076562	-54
0.076615	-81
0.076667	-85
0.076719	-3
0.076771	-71
0.076823	-71
0.076875	-39
0.076927	-1
0.076979	-68
0.077031	-62
0.077083	22
0.077135	-36
0.077187	-65
0.077240	-13
0.077292	-30
0.077344	-112
0.077396	-48
0.077448	-30
0.077500	-37
0.077552	-81
0.077604	44
0.077656	-90
0.077708	-108
0.077760	18
0.077812	-5
0.077865	-66
0.077917	-68
0.077969	14
0.078021	-43
0.078073	-64
0.078125	-4
0.078177	-20
0.078229	-98
0.078281	-69
0.078333	-20
0.078385	-52
0.078437	-28
0.078490	-16
0.078542	-111
0.078594	-93
0.078646	-14
0.078698	-51
0.078750	-64
0.078802	-13
0.078854	-51
0.078906	-73
0.078958	-99
0.079010	-12
0.079062	-39
0.079115	-35
0.079167	46
0.079219	-32
0.079271	-73
0.079323	-112
0.079375	13
0.079427	-84
0.079479	-86
0.079531	18
0.079583	-8
0.079635	-51
0.079687	-15
0.079740	-2
0.079792	-65
0.079844	-3
0.079896	57
0.079948	-38
0.080000	-86
0.080052	-9
0.080104	3
0.080156	-84
0.080208	-21
0.080260	-5
0.080312	-92
0.080365	-68
0.080417	-12
0.080469	-39
0.080521	-103
0.080573	-27
0.080625	-58
0.080677	-78
0.080729	-37
0.080781	28
0.080833	-101
0.080885	-108
0.080937	-18
0.080990	7
0.081042	-45
0.081094	-52
0.081146	-24
0.081198	-89
0.081250	-77
0.081302	-29
0.081354	-39
0.081406	-68
0.081458	-7
0.081510	-6
0.081562	-81
0.081615	-24
0.081667	48
0.081719	-87
0.081771	-120
0.081823	-34
0.081875	-96
0.081927	-59
0.081979	22
0.082031	3
0.082083	-49
0.082135	-31
0.082187	28
0.082240	-44
0.082292	-85
0.082344	24
0.082396	5
0.082448	-121
0.082500	-73
0.082552	-21
0.082604	-68
0.082656	-40
0.082708	-18
0.082760	-100
0.082812	-62
0.082865	20
0.082917	-31
0.082969	-78
0.083021	-83
0.083073	9
0.083125	-9
0.083177	-50
0.083229	-23
0.083281	-61
0.083333	-131
0.083385	-53
0.083437	15
0.083490	-110
0.083542	-89
0.083594	45
0.083646	-16
0.083698	-69
0.083750	-30
0.083802	-47
0.083854	-62
0.083906	-19
0.083958	50
0.084010	-95
0.084062	-48
0.084115	-28
0.084167	-53
0.084219	-116
0.084271	-71
0.084323	-1
0.084375	-65
0.084427	-95
0.084479	-34
0.084531	-61
0.084583	-95
0.084635	-25
0.084687	-83
0.084740	-114
0.084792	-80
0.084844	-1
0.084896	-59
0.084948	-80
0.085000	6
0.085052	-20
0.085104	-13
0.085156	5
0.085208	-32
0.085260	-87
0.085312	-67
0.085365	-36
0.085417	14
0.085469	-73
0.085521	26
0.085573	-7
0.085625	-47
0.085677	-42
0.085729	14
0.085781	-80
0.085833	-79
0.085885	-12
0.085937	-55
0.085990	-55
0.086042	66
0.086094	29
0.086146	-50
0.086198	-4
0.086250	-7
0.086302	-35
0.086354	-98
0.086406	-48
0.086458	-50
0.086510	-92
0.086562	-26
0.086615	-26
0.086667	-107
0.086719	-82
0.086771	-23
0.086823	-53
0.086875	-43
0.086927	2
0.086979	2
0.087031	-28
0.087083	-55
0.087135	13
0.087187	-4
0.087240	-62
0.087292	6
0.087344	-32
0.087396	-51
0.087448	15
0.087500	13
0.087552	-76
0.087604	-50
0.087656	8
0.087708	-94
0.087760	-100
0.087812	15
0.087865	-52
0.087917	-108
0.087969	-44
0.088021	-28
0.088073	-106
0.088125	-56
0.088177	80
0.088229	-60
0.088281	-140
0.088333	-62
0.088385	5
0.088437	-113
0.088490	-53
0.088542	-22
0.088594	-61
0.088646	-69
0.088698	-3
0.088750	-31
0.088802	-69
0.088854	-46
0.088906	-50
0.088958	-36
0.089010	-68
0.089062	-27
0.089115	-72
0.089167	-106
0.089219	-50
0.089271	-56
0.089323	-65
0.089375	-89
0.089427	-13
0.089479	-52
0.089531	-90
0.089583	16
0.089635	4
0.089687	-87
0.089740	-15
0.089792	-28
0.089844	-90
0.089896	-64
0.089948	-28
0.090000	-66
0.090052	-102
0.090104	-30
0.090156	-88
0.090208	-104
0.090260	-38
0.090312	-14
0.090365	-45
0.090417	-42
0.090469	2
0.090521	-4
0.090573	-76
0.090625	-53
0.090677	-40
0.090729	-33
0.090781	24
0.090833	16
0.090885	-45
0.090937	-43
0.090990	-29
0.091042	12
0.091094	-59
0.091146	-55
0.091198	-20
0.091250	-39
0.091302	-49
0.091354	12
0.091406	-57
0.091458	-82
0.091510	0
0.091562	-12
0.091615	-57
0.091667	-30
0.091719	-10
0.091771	-20
0.091823	-91
0.091875	9
