;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L3_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-59
0.000052	32
0.000104	45
0.000156	-48
0.000208	-57
0.000260	-5
0.000313	-65
0.000365	-68
0.000417	-70
0.000469	-41
0.000521	-44
0.000573	-80
0.000625	30
0.000677	-52
0.000729	-35
0.000781	-14
0.000833	-43
0.000885	-113
0.000938	-85
0.000990	6
0.001042	-67
0.001094	-82
0.001146	-8
0.001198	-82
0.001250	-125
0.001302	-38
0.001354	-25
0.001406	-21
0.001458	-44
0.001510	4
0.001562	-37
0.001615	-76
0.001667	23
0.001719	-59
0.001771	-63
0.001823	-24
0.001875	32
0.001927	-43
0.001979	-53
0.002031	0
0.002083	-59
0.002135	-61
0.002187	6
0.002240	-65
0.002292	-93
0.002344	20
0.002396	-57
0.002448	-51
0.002500	-49
0.002552	11
0.002604	-66
0.002656	-82
0.002708	-8
0.002760	-5
0.002812	-38
0.002865	-42
0.002917	-21
0.002969	-45
0.003021	-20
0.003073	-19
0.003125	-21
0.003177	-68
0.003229	-56
0.003281	-24
0.003333	-53
0.003385	-64
0.003437	-13
0.003490	-37
0.003542	-76
0.003594	-58
0.003646	-64
0.003698	-135
0.003750	-89
0.003802	9
0.003854	-26
0.003906	-73
0.003958	-21
0.004010	-19
0.004062	-67
0.004115	-41
0.004167	-32
0.004219	-57
0.004271	-28
0.004323	19
0.004375	-47
0.004427	-33
0.004479	38
0.004531	-56
0.004583	-42
0.004635	-53
0.004687	14
0.004740	-51
0.004792	-16
0.004844	9
0.004896	-47
0.004948	-74
0.005000	9
0.005052	-5
0.005104	-73
0.005156	-52
0.005208	-14
0.005260	-93
0.005313	-38
0.005365	-47
0.005417	-110
0.005469	-136
0.005521	-77
0.005573	-58
0.005625	-99
0.005677	-54
0.005729	7
0.005781	-37
0.005833	-59
0.005885	10
0.005938	-15
0.005990	-74
0.006042	-79
0.006094	-19
0.006146	-95
0.006198	-87
0.006250	-31
0.006302	-30
0.006354	-130
0.006406	-50
0.006458	-22
0.006510	-1
0.006563	-77
0.006615	18
0.006667	-70
0.006719	-99
0.006771	28
0.006823	-49
0.006875	-73
0.006927	-9
0.006979	-44
0.007031	-109
0.007083	-78
0.007135	36
0.007188	-34
0.007240	-77
0.007292	-16
0.007344	-19
0.007396	-74
0.007448	-14
0.007500	28
0.007552	-82
0.007604	-61
0.007656	-40
0.007708	-103
0.007760	-40
0.007813	-29
0.007865	-47
0.007917	-71
0.007969	-39
0.008021	-28
0.008073	-52
0.008125	-165
0.008177	17
0.008229	-47
0.008281	-10
0.008333	-3
0.008385	36
0.008438	-24
0.008490	-45
0.008542	7
0.008594	-13
0.008646	-82
0.008698	-73
0.008750	-32
0.008802	-59
0.008854	-42
0.008906	-7
0.008958	-34
0.009010	-75
0.009063	20
0.009115	-94
0.009167	-133
0.009219	-39
0.009271	44
0.009323	-62
0.009375	-32
0.009427	-41
0.009479	-71
0.009531	-80
0.009583	5
0.009635	-33
0.009687	-59
0.009740	-5
0.009792	24
0.009844	-47
0.009896	-44
0.009948	-6
0.010000	-10
0.010052	-84
0.010104	-42
0.010156	-16
0.010208	-75
0.010260	-105
0.010312	-24
0.010365	-60
0.010417	-132
0.010469	-11
0.010521	-85
0.010573	-79
0.010625	-24
0.010677	-46
0.010729	-91
0.010781	-57
0.010833	-9
0.010885	-47
0.010937	-92
0.010990	-22
0.011042	9
0.011094	-30
0.011146	-63
0.011198	7
0.011250	-39
0.011302	-106
0.011354	7
0.011406	-10
0.011458	-98
0.011510	-55
0.011562	65
0.011615	-36
0.011667	-13
0.011719	2
0.011771	-45
0.011823	-108
0.011875	-25
0.011927	-65
0.011979	-81
0.012031	-20
0.012083	41
0.012135	-82
0.012187	-91
0.012240	19
0.012292	-21
0.012344	-82
0.012396	-8
0.012448	-12
0.012500	-10
0.012552	-97
0.012604	6
0.012656	-59
0.012708	-78
0.012760	-38
0.012812	-40
0.012865	-68
0.012917	-35
0.012969	24
0.013021	-59
0.013073	-60
0.013125	-16
0.013177	-122
0.013229	-55
0.013281	-27
0.013333	-20
0.013385	-66
0.013437	-66
0.013490	36
0.013542	-42
0.013594	-26
0.013646	77
0.013698	-47
0.013750	-70
0.013802	-33
0.013854	29
0.013906	-3
0.013958	-35
0.014010	-39
0.014062	-60
0.014115	-77
0.014167	10
0.014219	-47
0.014271	-58
0.014323	-32
0.014375	18
0.014427	-46
0.014479	-64
0.014531	3
0.014583	-4
0.014635	-68
0.014687	-7
0.014740	-44
0.014792	-38
0.014844	-7
0.014896	-32
0.014948	-73
0.015000	-102
0.015052	-52
0.015104	-53
0.015156	-58
0.015208	-17
0.015260	-10
0.015312	-58
0.015365	-70
0.015417	-30
0.015469	-67
0.015521	-99
0.015573	6
0.015625	-53
0.015677	-92
0.015729	-71
0.015781	-5
0.015833	-39
0.015885	-46
0.015937	15
0.015990	-23
0.016042	-103
0.016094	-29
0.016146	-10
0.016198	-49
0.016250	-69
0.016302	-24
0.016354	-82
0.016406	-51
0.016458	-9
0.016510	-44
0.016562	-106
0.016615	-24
0.016667	31
0.016719	-57
0.016771	-18
0.016823	-48
0.016875	-9
0.016927	-110
0.016979	-41
0.017031	-3
0.017083	-74
0.017135	-9
0.017187	22
0.017240	-25
0.017292	-109
0.017344	-15
0.017396	-22
0.017448	-83
0.017500	-27
0.017552	-34
0.017604	-84
0.017656	-122
0.017708	-42
0.017760	-134
0.017812	-149
0.017865	-39
0.017917	-40
0.017969	-52
0.018021	-95
0.018073	-4
0.018125	-103
0.018177	-63
0.018229	35
0.018281	-31
0.018333	-66
0.018385	12
0.018438	1
0.018490	-60
0.018542	-68
0.018594	18
0.018646	-42
0.018698	-72
0.018750	18
0.018802	-31
0.018854	-39
0.018906	16
0.018958	-7
0.019010	-117
0.019063	-48
0.019115	5
0.019167	-65
0.019219	-63
0.019271	-1
0.019323	16
0.019375	-71
0.019427	-53
0.019479	7
0.019531	-101
0.019583	-135
0.019635	-27
0.019688	-56
0.019740	-75
0.019792	4
0.019844	43
0.019896	-71
0.019948	-57
0.020000	-49
0.020052	-60
0.020104	-93
0.020156	-62
0.020208	-67
0.020260	-85
0.020313	-67
0.020365	-12
0.020417	-59
0.020469	-61
0.020521	-9
0.020573	-11
0.020625	-100
0.020677	2
0.020729	9
0.020781	-35
0.020833	-20
0.020885	8
0.020938	-76
0.020990	-48
0.021042	-13
0.021094	-66
0.021146	-67
0.021198	8
0.021250	28
0.021302	-48
0.021354	-61
0.021406	-13
0.021458	-92
0.021510	-62
0.021563	5
0.021615	-29
0.021667	-99
0.021719	-53
0.021771	-46
0.021823	-19
0.021875	-58
0.021927	-21
0.021979	-30
0.022031	-47
0.022083	10
0.022135	2
0.022188	-73
0.022240	-12
0.022292	20
0.022344	-85
0.022396	-68
0.022448	-51
0.022500	-23
0.022552	-96
0.022604	-16
0.022656	-12
0.022708	-61
0.022760	-24
0.022813	-64
0.022865	-60
0.022917	-83
0.022969	-21
0.023021	-67
0.023073	-94
0.023125	-50
0.023177	-21
0.023229	-47
0.023281	-64
0.023333	-26
0.023385	-18
0.023438	-23
0.023490	-37
0.023542	-22
0.023594	-81
0.023646	-83
0.023698	-16
0.023750	-96
0.023802	-64
0.023854	28
0.023906	6
0.023958	-46
0.024010	-61
0.024063	9
0.024115	-48
0.024167	-37
0.024219	13
0.024271	-16
0.024323	-112
0.024375	-43
0.024427	-32
0.024479	-57
0.024531	-89
0.024583	49
0.024635	-55
0.024688	-110
0.024740	-24
0.024792	-14
0.024844	-74
0.024896	-44
0.024948	-4
0.025000	-78
0.025052	-87
0.025104	-21
0.025156	-37
0.025208	-108
0.025260	-24
0.025313	-25
0.025365	-38
0.025417	-44
0.025469	-25
0.025521	-67
0.025573	-121
0.025625	58
0.025677	4
0.025729	-73
0.025781	-15
0.025833	-19
0.025885	-78
0.025938	-96
0.025990	0
0.026042	-38
0.026094	-39
0.026146	-13
0.026198	-27
0.026250	-57
0.026302	-2
0.026354	-23
0.026406	-77
0.026458	-70
0.026510	-25
0.026563	-103
0.026615	-124
0.026667	-29
0.026719	11
0.026771	-71
0.026823	-67
0.026875	-29
0.026927	-52
0.026979	-88
0.027031	32
0.027083	-33
0.027135	-93
0.027188	11
0.027240	-34
0.027292	-93
0.027344	-65
0.027396	-7
0.027448	-49
0.027500	-131
0.027552	-50
0.027604	29
0.027656	9
0.027708	-80
0.027760	2
0.027813	-24
