;AutoSpike-32 ASCII File
;1
; Wave data Signal sim_L5_50mM_NaCl_02
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-30
0.000052	-80
0.000104	-79
0.000156	31
0.000208	18
0.000260	-56
0.000313	-128
0.000365	-18
0.000417	-32
0.000469	-55
0.000521	27
0.000573	2
0.000625	-60
0.000677	-40
0.000729	-32
0.000781	-66
0.000833	-33
0.000885	19
0.000938	-36
0.000990	-80
0.001042	-38
0.001094	1
0.001146	-9
0.001198	-64
0.001250	-29
0.001302	-46
0.001354	-80
0.001406	2
0.001458	-34
0.001510	-40
0.001562	-70
0.001615	-31
0.001667	-23
0.001719	-83
0.001771	28
0.001823	-34
0.001875	-27
0.001927	-38
0.001979	30
0.002031	-40
0.002083	-64
0.002135	26
0.002187	47
0.002240	-65
0.002292	-39
0.002344	-48
0.002396	-77
0.002448	-59
0.002500	-39
0.002552	-43
0.002604	-87
0.002656	-32
0.002708	5
0.002760	-5
0.002812	-9
0.002865	37
0.002917	-57
0.002969	-50
0.003021	-4
0.003073	8
0.003125	-12
0.003177	-36
0.003229	-5
0.003281	5
0.003333	-63
0.003385	-38
0.003437	-46
0.003490	-112
0.003542	-39
0.003594	17
0.003646	-98
0.003698	-108
0.003750	-16
0.003802	-5
0.003854	-89
0.003906	-27
0.003958	26
0.004010	43
0.004062	-21
0.004115	22
0.004167	-135
0.004219	-93
0.004271	9
0.004323	3
0.004375	-47
0.004427	13
0.004479	22
0.004531	-3
0.004583	-67
0.004635	-36
0.004687	-21
0.004740	-83
0.004792	-88
0.004844	-8
0.004896	-129
0.004948	-104
0.005000	-7
0.005052	-8
0.005104	-59
0.005156	-20
0.005208	-61
0.005260	-86
0.005313	-73
0.005365	-16
0.005417	-21
0.005469	-51
0.005521	-50
0.005573	-32
0.005625	-131
0.005677	-103
0.005729	25
0.005781	-29
0.005833	-112
0.005885	-22
0.005938	-9
0.005990	-23
0.006042	-36
0.006094	53
0.006146	26
0.006198	-83
0.006250	-52
0.006302	-99
0.006354	6
0.006406	-11
0.006458	32
0.006510	-6
0.006563	34
0.006615	10
0.006667	-36
0.006719	-19
0.006771	29
0.006823	-47
0.006875	-22
0.006927	-78
0.006979	-24
0.007031	-29
0.007083	-48
0.007135	47
0.007188	41
0.007240	-118
0.007292	-125
0.007344	-94
0.007396	-101
0.007448	-120
0.007500	-36
0.007552	-88
0.007604	-56
0.007656	-21
0.007708	21
0.007760	-62
0.007813	-90
0.007865	44
0.007917	-10
0.007969	-46
0.008021	-39
0.008073	-24
0.008125	-5
0.008177	-25
0.008229	24
0.008281	7
0.008333	-37
0.008385	-18
0.008438	-14
0.008490	-12
0.008542	-16
0.008594	19
0.008646	-51
0.008698	-43
0.008750	19
0.008802	-14
0.008854	-58
0.008906	-96
0.008958	-47
0.009010	-17
0.009063	-137
0.009115	29
0.009167	-12
0.009219	-50
0.009271	8
0.009323	5
0.009375	-81
0.009427	-98
0.009479	-3
0.009531	-19
0.009583	-7
0.009635	-18
0.009687	11
0.009740	-64
0.009792	-104
0.009844	5
0.009896	8
0.009948	-84
0.010000	-7
0.010052	-16
0.010104	-49
0.010156	-61
0.010208	-33
0.010260	-71
0.010312	-101
0.010365	-6
0.010417	-54
0.010469	-67
0.010521	-29
0.010573	59
0.010625	-59
0.010677	-62
0.010729	-12
0.010781	-30
0.010833	-44
0.010885	-79
0.010937	15
0.010990	-25
0.011042	-26
0.011094	-23
0.011146	-17
0.011198	-53
0.011250	-29
0.011302	-45
0.011354	-95
0.011406	-51
0.011458	1
0.011510	12
0.011562	-46
0.011615	-6
0.011667	-36
0.011719	-59
0.011771	-51
0.011823	68
0.011875	-46
0.011927	-61
0.011979	22
0.012031	2
0.012083	-86
0.012135	-11
0.012187	-23
0.012240	-37
0.012292	-25
0.012344	-29
0.012396	-88
0.012448	-122
0.012500	-11
0.012552	-15
0.012604	2
0.012656	-40
0.012708	29
0.012760	-11
0.012812	-57
0.012865	-41
0.012917	22
0.012969	-111
0.013021	-48
0.013073	38
0.013125	-4
0.013177	-35
0.013229	-11
0.013281	6
0.013333	-84
0.013385	-55
0.013437	0
0.013490	-45
0.013542	-104
0.013594	19
0.013646	-51
0.013698	-38
0.013750	-69
0.013802	-3
0.013854	-59
0.013906	-29
0.013958	66
0.014010	-22
0.014062	-63
0.014115	-23
0.014167	-12
0.014219	-32
0.014271	-38
0.014323	-23
0.014375	-46
0.014427	-115
0.014479	-13
0.014531	-13
0.014583	-86
0.014635	10
0.014687	22
0.014740	-54
0.014792	-44
0.014844	28
0.014896	-49
0.014948	-91
0.015000	-36
0.015052	-1
0.015104	-73
0.015156	-48
0.015208	39
0.015260	-30
0.015312	-94
0.015365	-86
0.015417	-37
0.015469	-134
0.015521	-51
0.015573	24
0.015625	-31
0.015677	-71
0.015729	-21
0.015781	-44
0.015833	-125
0.015885	-43
0.015937	-25
0.015990	3
0.016042	-32
0.016094	-3
0.016146	-26
0.016198	-63
0.016250	-3
0.016302	44
0.016354	-57
0.016406	-148
0.016458	-22
0.016510	-91
0.016562	-59
0.016615	-23
0.016667	32
0.016719	-52
0.016771	-22
0.016823	16
0.016875	-56
0.016927	-76
0.016979	25
0.017031	-4
0.017083	-102
0.017135	-7
0.017187	14
0.017240	-26
0.017292	-26
0.017344	-6
0.017396	-12
0.017448	-10
0.017500	-105
0.017552	-58
0.017604	-35
0.017656	-82
0.017708	-16
0.017760	-47
0.017812	-45
0.017865	-2
0.017917	-18
0.017969	-74
0.018021	-136
0.018073	-20
0.018125	15
0.018177	-6
0.018229	-34
0.018281	-10
0.018333	-58
0.018385	-57
0.018438	-37
0.018490	-41
0.018542	-39
0.018594	20
0.018646	39
0.018698	-92
0.018750	-54
0.018802	46
0.018854	-17
0.018906	-41
0.018958	-6
0.019010	-10
0.019063	-27
0.019115	-38
0.019167	-35
0.019219	-65
0.019271	-63
0.019323	-23
0.019375	-59
0.019427	-77
0.019479	-42
0.019531	-29
0.019583	-57
0.019635	-67
0.019688	3
0.019740	-36
0.019792	-56
0.019844	-32
0.019896	14
0.019948	-34
0.020000	-62
0.020052	42
0.020104	-20
0.020156	-12
0.020208	6
0.020260	-35
0.020313	-81
0.020365	-94
0.020417	-27
0.020469	-92
0.020521	-74
0.020573	-8
0.020625	-44
0.020677	-84
0.020729	1
0.020781	-7
0.020833	-11
0.020885	-27
0.020938	-13
0.020990	11
0.021042	-22
0.021094	7
0.021146	2
0.021198	-13
0.021250	-50
0.021302	-10
0.021354	-52
0.021406	-90
0.021458	-12
0.021510	-15
0.021563	-108
0.021615	-55
0.021667	14
0.021719	-52
0.021771	-51
0.021823	-19
0.021875	-34
0.021927	-45
0.021979	-35
0.022031	-50
0.022083	-101
0.022135	-61
0.022188	-38
0.022240	-25
0.022292	-66
0.022344	-52
0.022396	-19
0.022448	-76
0.022500	-105
0.022552	-23
0.022604	-39
0.022656	-96
0.022708	-10
0.022760	-34
0.022813	-77
0.022865	-49
0.022917	23
0.022969	-36
0.023021	-25
0.023073	39
0.023125	-43
0.023177	-91
0.023229	-19
0.023281	42
0.023333	-36
0.023385	2
0.023438	10
0.023490	-15
0.023542	-80
0.023594	-64
0.023646	1
0.023698	-101
0.023750	-106
0.023802	24
0.023854	-11
0.023906	-3
0.023958	15
0.024010	-24
0.024063	-33
0.024115	-42
0.024167	-6
0.024219	-27
0.024271	-78
0.024323	-5
0.024375	-18
0.024427	-69
0.024479	-77
0.024531	-22
0.024583	-45
0.024635	-39
0.024688	-17
0.024740	23
0.024792	-29
0.024844	-28
0.024896	-9
0.024948	-6
0.025000	-56
0.025052	-3
0.025104	-58
0.025156	-49
0.025208	-44
0.025260	-6
0.025313	-94
0.025365	-34
0.025417	-20
0.025469	-24
0.025521	-38
0.025573	-25
0.025625	10
0.025677	-68
0.025729	-37
0.025781	58
0.025833	-22
0.025885	3
0.025938	-1
0.025990	-28
0.026042	-70
0.026094	-7
0.026146	-31
0.026198	-37
0.026250	-99
0.026302	8
0.026354	27
0.026406	-67
0.026458	-15
0.026510	-11
0.026563	-52
0.026615	-42
0.026667	10
0.026719	-85
0.026771	-108
0.026823	-64
0.026875	-12
0.026927	-46
0.026979	-45
0.027031	-30
0.027083	-64
0.027135	-71
0.027188	-15
0.027240	0
0.027292	-89
0.027344	-79
0.027396	-7
0.027448	-52
0.027500	-83
0.027552	-17
0.027604	-24
0.027656	-23
0.027708	-19
0.027760	-28
0.027813	-57
0.027865	-44
0.027917	33
0.027969	4
0.028021	-19
0.028073	-34
0.028125	-9
0.028177	-126
0.028229	-58
0.028281	44
0.028333	39
0.028385	-79
0.028438	35
0.028490	42
0.028542	-25
0.028594	-16
0.028646	60
0.028698	-43
0.028750	-6
0.028802	6
0.028854	-76
0.028906	-85
0.028958	-95
0.029010	1
0.029063	-85
0.029115	-74
0.029167	10
0.029219	-67
0.029271	-47
0.029323	-47
0.029375	-6
0.029427	-68
0.029479	-92
0.029531	-50
0.029583	-31
0.029635	-116
0.029688	-87
0.029740	-15
0.029792	-91
0.029844	-84
0.029896	38
0.029948	-68
0.030000	-44
0.030052	0
0.030104	21
0.030156	-58
0.030208	-36
0.030260	-2
0.030313	-69
0.030365	-86
0.030417	1
0.030469	28
0.030521	-57
0.030573	-76
0.030625	-20
0.030677	-34
0.030729	-26
0.030781	26
0.030833	-27
0.030885	-53
0.030938	12
0.030990	18
0.031042	-47
0.031094	-71
0.031146	48
0.031198	-28
0.031250	-64
0.031302	-23
0.031354	27
0.031406	-15
0.031458	-24
0.031510	-72
0.031563	-90
0.031615	-75
0.031667	-4
0.031719	-54
0.031771	-67
0.031823	-21
0.031875	28
0.031927	-45
0.031979	-56
0.032031	-4
0.032083	-81
0.032135	-51
0.032188	-24
0.032240	-32
0.032292	-95
0.032344	-103
0.032396	-1
0.032448	19
0.032500	-58
0.032552	-9
0.032604	-24
0.032656	-65
0.032708	-72
0.032760	28
0.032813	-30
0.032865	-135
0.032917	-55
0.032969	-63
0.033021	-91
0.033073	-101
0.033125	-15
0.033177	-27
0.033229	-28
0.033281	-5
0.033333	-22
0.033385	-33
0.033438	-27
0.033490	10
0.033542	-47
0.033594	-89
0.033646	-14
0.033698	-29
0.033750	-15
0.033802	-30
0.033854	6
0.033906	-36
0.033958	-49
0.034010	44
0.034063	-26
0.034115	-58
0.034167	-33
0.034219	19
0.034271	3
0.034323	-19
0.034375	37
0.034427	23
0.034479	-101
0.034531	20
0.034583	-46
0.034635	-26
0.034688	-38
0.034740	-16
0.034792	-45
0.034844	-107
0.034896	-24
0.034948	8
0.035000	-69
0.035052	-60
0.035104	-17
0.035156	-80
0.035208	-56
0.035260	-11
0.035313	-32
0.035365	-80
0.035417	-14
0.035469	-53
0.035521	-27
0.035573	-98
0.035625	5
0.035677	-20
0.035729	-39
0.035781	-29
0.035833	-4
0.035885	-82
0.035938	-22
0.035990	6
0.036042	-66
0.036094	-85
0.036146	24
0.036198	-1
0.036250	-51
0.036302	36
0.036354	58
0.036406	10
0.036458	-71
0.036510	11
0.036563	-16
0.036615	5
0.036667	20
0.036719	90
0.036771	-2
0.036823	-21
0.036875	-48
0.036927	-81
0.036979	-86
0.037031	-21
0.037083	-38
0.037135	-68
0.037188	-140
0.037240	-22
0.037292	-78
0.037344	-105
0.037396	-19
0.037448	-90
0.037500	-65
0.037552	-67
0.037604	-38
0.037656	-77
0.037708	-116
0.037760	-34
0.037813	-9
0.037865	-30
0.037917	-32
0.037969	-12
0.038021	-49
0.038073	-88
0.038125	-20
0.038177	-12
0.038229	-77
0.038281	1
0.038333	-28
0.038385	-32
0.038438	-22
0.038490	41
0.038542	-26
0.038594	-49
0.038646	2
0.038698	38
0.038750	-43
0.038802	6
0.038854	-5
0.038906	-12
0.038958	-61
0.039010	-8
0.039063	-80
0.039115	-79
0.039167	-36
0.039219	-5
0.039271	-62
0.039323	-31
0.039375	5
0.039427	-45
0.039479	-46
0.039531	-20
0.039583	-18
0.039635	-74
0.039688	-78
0.039740	-59
0.039792	-74
0.039844	-73
0.039896	15
0.039948	66
0.040000	-29
0.040052	-4
0.040104	41
0.040156	-68
0.040208	-7
0.040260	-2
0.040313	5
0.040365	-6
0.040417	-1
0.040469	19
0.040521	-62
0.040573	-87
0.040625	-75
0.040677	-72
0.040729	-65
0.040781	0
0.040833	6
0.040885	-52
0.040938	-75
0.040990	-56
0.041042	-61
0.041094	-65
0.041146	-66
0.041198	-43
0.041250	-107
0.041302	-55
0.041354	7
0.041406	-109
0.041458	-85
0.041510	-18
0.041563	-59
0.041615	-56
0.041667	-12
0.041719	25
0.041771	-49
0.041823	-57
0.041875	79
0.041927	12
0.041979	-58
0.042031	-45
0.042083	-58
0.042135	-6
0.042188	-54
0.042240	8
0.042292	-3
0.042344	-66
0.042396	14
0.042448	45
0.042500	-76
0.042552	-28
0.042604	10
0.042656	-76
0.042708	-95
0.042760	-56
0.042813	27
0.042865	-36
0.042917	-55
0.042969	13
0.043021	-59
0.043073	-83
0.043125	18
0.043177	-10
0.043229	-68
0.043281	-74
0.043333	55
0.043385	-12
0.043438	-68
0.043490	-12
0.043542	-50
0.043594	-57
0.043646	-18
0.043698	-17
0.043750	-26
0.043802	-39
0.043854	16
0.043906	-6
0.043958	-45
0.044010	36
0.044063	-11
0.044115	-30
0.044167	-76
0.044219	-39
0.044271	-49
0.044323	-51
0.044375	-16
0.044427	-75
0.044479	-47
0.044531	-45
0.044583	12
0.044635	-1
0.044688	-78
0.044740	6
0.044792	-67
0.044844	-85
0.044896	-25
0.044948	-34
0.045000	-49
0.045052	-69
0.045104	-19
0.045156	-50
0.045208	-83
0.045260	11
0.045313	87
0.045365	-78
0.045417	-79
0.045469	-21
0.045521	-160
0.045573	-160
0.045625	-2
0.045677	1
0.045729	-38
0.045781	-79
0.045833	-29
0.045885	-2
0.045938	-47
0.045990	0
0.046042	-104
0.046094	-66
0.046146	-40
0.046198	42
0.046250	-48
0.046302	19
0.046354	7
0.046406	8
0.046458	-70
0.046510	-60
0.046563	-37
0.046615	15
0.046667	4
0.046719	37
0.046771	-33
0.046823	-44
0.046875	24
0.046927	29
0.046979	-42
0.047031	-21
0.047083	85
0.047135	-15
0.047188	-41
0.047240	27
0.047292	20
0.047344	-54
0.047396	-72
0.047448	-66
0.047500	-97
0.047552	-65
0.047604	30
0.047656	-25
0.047708	-61
0.047760	-15
0.047813	-44
0.047865	-74
0.047917	-59
0.047969	-17
0.048021	-62
0.048073	-73
0.048125	19
0.048177	-13
0.048229	-25
0.048281	-21
0.048333	33
0.048385	14
0.048438	-92
0.048490	-4
0.048542	-76
0.048594	-52
0.048646	-77
0.048698	38
0.048750	-49
0.048802	-44
0.048854	3
0.048906	-17
0.048958	-69
0.049010	-43
0.049063	-63
0.049115	-99
0.049167	-121
0.049219	-2
0.049271	-24
0.049323	-131
0.049375	-35
0.049427	-23
0.049479	-48
0.049531	-34
0.049583	26
0.049635	-28
0.049688	-112
0.049740	-63
0.049792	-46
0.049844	-50
0.049896	-102
0.049948	31
0.050000	-11
0.050052	-76
0.050104	-56
0.050156	18
0.050208	-64
0.050260	-30
0.050313	-9
0.050365	-56
0.050417	-46
0.050469	-15
0.050521	-31
0.050573	-45
0.050625	1
0.050677	-34
0.050729	-81
0.050781	-64
0.050833	38
0.050885	-48
0.050938	-71
0.050990	15
0.051042	-40
0.051094	-44
0.051146	-16
0.051198	-28
0.051250	-43
0.051302	-63
0.051354	3
0.051406	-91
0.051458	-50
0.051510	-12
0.051563	8
0.051615	-128
0.051667	-111
0.051719	-20
0.051771	28
0.051823	-23
0.051875	-3
0.051927	-5
0.051979	-93
0.052031	-68
0.052083	-18
