;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L6_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-94
0.000052	8
0.000104	-1
0.000156	-70
0.000208	-72
0.000260	-57
0.000313	-81
0.000365	-22
0.000417	-12
0.000469	-87
0.000521	-131
0.000573	-48
0.000625	-42
0.000677	-83
0.000729	-35
0.000781	-18
0.000833	-24
0.000885	-33
0.000938	6
0.000990	-28
0.001042	-130
0.001094	-97
0.001146	-27
0.001198	-77
0.001250	-66
0.001302	24
0.001354	-10
0.001406	-41
0.001458	-2
0.001510	-26
0.001562	-2
0.001615	-31
0.001667	-29
0.001719	-31
0.001771	-51
0.001823	-25
0.001875	-14
0.001927	-84
0.001979	-55
0.002031	12
0.002083	-11
0.002135	-76
0.002187	-35
0.002240	-8
0.002292	-6
0.002344	-42
0.002396	10
0.002448	-39
0.002500	-124
0.002552	16
0.002604	-47
0.002656	-60
0.002708	-43
0.002760	-54
0.002812	-85
0.002865	-27
0.002917	-16
0.002969	-6
0.003021	-10
0.003073	-22
0.003125	-37
0.003177	-129
0.003229	-79
0.003281	-5
0.003333	-142
0.003385	-164
0.003437	-5
0.003490	-3
0.003542	-72
0.003594	-40
0.003646	34
0.003698	-57
0.003750	-72
0.003802	-23
0.003854	1
0.003906	-49
0.003958	4
0.004010	10
0.004062	-112
0.004115	-77
0.004167	28
0.004219	-71
0.004271	-77
0.004323	33
0.004375	31
0.004427	-27
0.004479	-65
0.004531	-11
0.004583	-55
0.004635	-147
0.004687	-32
0.004740	-75
0.004792	-93
0.004844	-71
0.004896	-21
0.004948	-59
0.005000	-89
0.005052	9
0.005104	29
0.005156	-41
0.005208	-8
0.005260	-22
0.005313	-51
0.005365	-44
0.005417	41
0.005469	-61
0.005521	-145
0.005573	-12
0.005625	-31
0.005677	-72
0.005729	-70
0.005781	14
0.005833	-28
0.005885	-62
0.005938	-15
0.005990	-29
0.006042	-23
0.006094	19
0.006146	-28
0.006198	-74
0.006250	-44
0.006302	32
0.006354	-18
0.006406	-46
0.006458	19
0.006510	-49
0.006563	-52
0.006615	-14
0.006667	-21
0.006719	-58
0.006771	-51
0.006823	17
0.006875	16
0.006927	0
0.006979	-4
0.007031	-8
0.007083	-68
0.007135	-87
0.007188	-25
0.007240	-35
0.007292	-99
0.007344	-27
0.007396	-61
0.007448	-65
0.007500	-66
0.007552	-66
0.007604	-84
0.007656	-100
0.007708	11
0.007760	-57
0.007813	-99
0.007865	-24
0.007917	9
0.007969	-70
0.008021	-87
0.008073	30
0.008125	-59
0.008177	-109
0.008229	29
0.008281	22
0.008333	-70
0.008385	-78
0.008438	52
0.008490	-83
0.008542	-99
0.008594	-7
0.008646	-49
0.008698	-70
0.008750	-45
0.008802	-3
0.008854	-99
0.008906	-34
0.008958	-7
0.009010	-13
0.009063	-82
0.009115	-92
0.009167	3
0.009219	-55
0.009271	-106
0.009323	-38
0.009375	-45
0.009427	-99
0.009479	-66
0.009531	-48
0.009583	-91
0.009635	-40
0.009687	13
0.009740	-63
0.009792	-114
0.009844	3
0.009896	-6
0.009948	-72
0.010000	-19
0.010052	-25
0.010104	-46
0.010156	-38
0.010208	-16
0.010260	-45
0.010312	-41
0.010365	-6
0.010417	31
0.010469	-32
0.010521	-41
0.010573	-38
0.010625	-55
0.010677	-107
0.010729	-91
0.010781	10
0.010833	-85
0.010885	-62
0.010937	-17
0.010990	-25
0.011042	-57
0.011094	38
0.011146	-34
0.011198	-78
0.011250	35
0.011302	39
0.011354	-49
0.011406	-12
0.011458	-21
0.011510	-47
0.011562	-17
0.011615	26
0.011667	-48
0.011719	-20
0.011771	4
0.011823	-3
0.011875	-85
0.011927	-113
0.011979	6
0.012031	-22
0.012083	-65
0.012135	-40
0.012187	-23
0.012240	-82
0.012292	-43
0.012344	33
0.012396	38
0.012448	-114
0.012500	-12
0.012552	-76
0.012604	-55
0.012656	-11
0.012708	12
0.012760	-107
0.012812	-139
0.012865	-59
0.012917	-57
0.012969	-28
0.013021	-4
0.013073	-24
0.013125	-51
0.013177	-62
0.013229	37
0.013281	-68
0.013333	-91
0.013385	-18
0.013437	-49
0.013490	-61
0.013542	21
0.013594	-26
0.013646	-42
